timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:37:06.585, 82, 100 %, 50 %, 210.92 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:07.594, 82, 100 %, 50 %, 211.39 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:08.602, 79, 100 %, 42 %, 153.10 W, 967 MHz, 877 MHz, P0
2026/02/11 11:37:09.613, 80, 100 %, 48 %, 197.38 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:37:10.614, 81, 100 %, 52 %, 221.71 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:37:11.626, 81, 100 %, 52 %, 225.36 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:37:12.634, 82, 100 %, 50 %, 228.21 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:37:13.645, 82, 100 %, 51 %, 225.51 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:37:14.650, 82, 100 %, 50 %, 217.58 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:15.663, 82, 100 %, 52 %, 211.39 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:16.670, 82, 100 %, 50 %, 209.63 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:17.680, 82, 100 %, 49 %, 199.76 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:18.685, 82, 100 %, 51 %, 221.71 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:37:19.699, 82, 100 %, 51 %, 214.72 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:20.708, 82, 100 %, 50 %, 214.25 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:21.716, 82, 100 %, 48 %, 201.67 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:37:22.732, 81, 100 %, 50 %, 198.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:23.743, 81, 100 %, 47 %, 208.68 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:24.756, 81, 100 %, 49 %, 207.25 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:37:25.760, 81, 100 %, 49 %, 201.19 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:37:26.772, 81, 100 %, 47 %, 198.81 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:27.781, 81, 100 %, 48 %, 211.39 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:28.810, 80, 100 %, 54 %, 177.61 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:37:29.812, 79, 100 %, 43 %, 175.82 W, 1057 MHz, 877 MHz, P0
2026/02/11 11:37:30.831, 80, 100 %, 49 %, 215.67 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:31.850, 81, 100 %, 50 %, 221.71 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:32.889, 81, 100 %, 50 %, 212.34 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:33.899, 82, 100 %, 49 %, 220.29 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:37:34.901, 82, 100 %, 49 %, 220.29 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:37:35.908, 82, 100 %, 49 %, 220.29 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:37:36.911, 82, 100 %, 48 %, 217.58 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:37:37.916, 82, 100 %, 50 %, 215.67 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:37:38.920, 82, 100 %, 49 %, 211.87 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:37:39.926, 82, 100 %, 50 %, 225.99 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:40.941, 82, 100 %, 47 %, 178.68 W, 1110 MHz, 877 MHz, P0
